Best match in NIST ,IUPAC name,InChIKey,treatment,kingdom,superclass,class,subclass,level 5,mean_decrease_accuracy,Treatment effect
"Oleic acid, trimethylsilyl ester",(Z)-octadec-9-enoic acid,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,2%,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,7.211123552,Phytol
"Disiloxane, hexamethyl-",trimethyl(trimethylsilyloxy)silane,UQEAIHBTYFGYIE-UHFFFAOYSA-N,3%,Organic compounds,Organometallic compounds,Organometalloid compounds,Organosilicon compounds,Siloxanes,8.10067357,Eugenol
Eugenol,2-methoxy-4-prop-2-enylphenol,RRAFCDWBNXTKKO-UHFFFAOYSA-N,3%,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,7.846199193,Eugenol
Eugenol,2-methoxy-4-prop-2-enylphenol,RRAFCDWBNXTKKO-UHFFFAOYSA-N,3%,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,8.305959698,Eugenol
"Pentane, 1-(1-ethoxyethoxy)-",1-(1-ethoxyethoxy)pentane,QMLYOIJQQWWNKE-UHFFFAOYSA-N,3%,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Acetals,14.64928318,Eugenol
Neophytadine,"7,11,15-trimethyl-3-methylidenehexadec-1-ene",NIDGCIPAMWNKOA-UHFFFAOYSA-N,3%,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,16.01361567,Phytol
"Cyclohexanol, 4-ethenyl-4-methyl-3-(1-methylethenyl)-, (1à,3à,4á)-",4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene,MXDMETWAEGIFOE-UHFFFAOYSA-N,3%,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,8.998596154,Phytol
"Glutaric acid, 2-fluorophenyl tridecyl ester",5-O-(2-fluorophenyl) 1-O-tridecyl pentanedioate,WDEXFMZCNFEBIF-UHFFFAOYSA-N,3%,Organic compounds,Organic acids and derivatives,Benzenoids,Phenol esters,NA,14.64928318,Tannic acid
Thifensulfuron-Me,"methyl 3-[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoylsulfamoyl]thiophene-2-carboxylate",AHTPATJNIAFOLR-UHFFFAOYSA-N,3%,Organic compounds,Organoheterocyclic compounds,Thiophenes,Thiophene carboxylic acids and derivatives,NA,8.268220025,Tannic acid
"2,6-dihydroxyacetophenone, 2TMS derivative","1-(2,6-dihydroxyphenyl)ethanone",YPTJKHVBDCRKNF-UHFFFAOYSA-N,3%,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,17.90430335,Tannic acid
"Gallic acid, 4TMS derivate","3,4,5-trihydroxybenzoic acid",LNTHITQWFMADLM-UHFFFAOYSA-N,3%,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,10.30127792,Tannic acid
Palmitic acid,hexadecanoic acid,IPCSVZSSVZVIGE-UHFFFAOYSA-N,3%,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,5.537784069,Tannic acid
"5,10-Pentadecadien-1-ol, (Z,Z)-","(5Z,10Z)-pentadeca-5,10-dien-1-ol",KKBFAANQNYGLKU-VIFBMRGNSA-N,3%,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,8.745106666,Tannic acid
"Dihydrouracil, 2TMS detivate","1,3-diazinane-2,4-dione",OIVLITBTBDPEFK-UHFFFAOYSA-N,3%,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Pyrimidones,13.32996675,Tannic acid
"hexadecane-1,2-diol","hexadecane-1,2-diol",BTOOAFQCTJZDRC-UHFFFAOYSA-N,3%,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols ,Long-chain fatty acohols,6.595153734,Eugenol
Phytol,"(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",BOTWFXYSPFMFNR-PYDDKJGSSA-N,3%,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Diterpenoids,Acyclic diterpenoids,15.95062806,Phytol
